id,scope,type,source,query,status,latency,outer_type,passed,reason,failed_checks,response
1,guest,rag_exact,rag_accuracy,Where is Block A?,OK,2.068,message,True,ok,,Block A is in Kuala Lumpur.
6,guest,rag_negative,rag_accuracy,What is the fee for the Mars Campus?,OK,2.061,message,True,ok,,The database has no information for this request.
4,guest,rag_exact,rag_accuracy,What time does the library close?,OK,3.471,message,True,ok,,The database has no information for library details.
8,guest,rag_negative,rag_accuracy,What is the tuition for Jedi training?,OK,2.242,message,True,ok,,The database has no information for this request.
7,guest,rag_negative,rag_accuracy,Who is Professor Spiderman?,OK,2.344,message,True,ok,,The database has no information for this request.
2,guest,rag_exact,rag_accuracy,How much is the hostel fee?,OK,6.751,message,True,ok,,"The hostel fee ranges from RM 650 to RM 1200, depending on the room type and building. The deposit ranges from RM 1000 to RM 2000. Here are some examples: Park Lane (Twin Sharing) costs RM 700 with a RM 1400 deposit, whi"
3,guest,rag_exact,rag_accuracy,What is the tuition fee for Computer Science?,OK,6.86,message,True,ok,,"The tuition fee for Bachelor of Computer Science in Data Science with Honours is RM 94,195 for local students and RM 114,772.80 for international students. The fee for Bachelor of Computer Science (Hons) Mobile Computing"
5,guest,rag_exact,rag_accuracy,Do you have a shuttle bus service?,OK,8.582,message,True,ok,,"Yes, the Park Lane hostel in Kuching offers a Shuttle Service. It is an On-Campus hostel with Twin Sharing rooms available for RM 700 per month, with a deposit of RM 1400."
10,guest,rag_exact,rag_accuracy,Is there a gym on campus?,OK,5.288,message,True,ok,,"Yes, there is a Gym & Pool located at Block E / R2. It is free for students and is open from 07:00 to 22:00. It's categorized under Fitness and is for exercise and swimming."
9,guest,rag_exact,rag_accuracy,List all engineering majors,OK,6.249,message,True,ok,,"UCSI College offers the following engineering majors: Bachelor of Engineering (Honours) Electrical and Electronic Engineering, Bachelor of Engineering (Honours) Mechanical Engineering, Bachelor of Engineering (Honours) C"
11,guest,rag_exact,rag_accuracy,How do I apply for a scholarship?,OK,5.968,message,True,ok,,Scholarship details: Programme: Foundation in Science (Medical Sciences); Fields of Study: Medicine and Health Sciences; Course Duration: 1 year; Course Mode: Full-time
13,guest,rag_exact,rag_accuracy,Who is the Vice Chancellor?,OK,6.695,message,True,ok,,The database has no information for Vice Chancellor details.
12,guest,rag_exact,rag_accuracy,When is the next intake for 2026?,OK,10.177,message,True,ok,,"For the BSc (Hons) Aquatic Science programme, intakes are in January, May and September. I don't have information about intakes for other programmes. Release of Results (Jan-Apr Sem) will be on 14-05-2026 for general pro"
14,guest,rag_exact,rag_accuracy,Is there a cafeteria on campus?,OK,8.65,message,True,ok,,"Campus cafeteria/food/dining details: KK Super Mart: category: Convenience, location: South Campus, price_info: Standard, opening_hours: 24 Hours, tags: essentials, cheap, 24/7"
15,guest,rag_exact,rag_accuracy,What is the address of the campus?,OK,8.663,message,True,ok,,Campus address/location details: There are multiple campuses listed.
17,guest,rag_exact,rag_accuracy,Do you accept international students?,OK,8.623,message,True,ok,,"Yes, UCSI University accepts international students. For the Bachelor in International Business (Honours), international student fees are RM 95,374.80. The Bachelor of International and Sustainable Business (Honours) cos"
16,guest,rag_exact,rag_accuracy,Do you offer PhD programs?,OK,9.649,message,True,ok,,"PhD/doctoral programme details: Programme: Bachelor of Electrical and Electronics Engineering with Honours; Fields of Study: Engineering; Course Duration: 1 Year / 3 Semesters (14 weeks per semester, no short semester); "
18,guest,rag_exact,rag_accuracy,Is there a swimming pool?,OK,6.156,message,True,ok,,"Yes, there is a swimming pool. It is located in Block E / R2 and is free for students. The gym and pool are open from 07:00 to 22:00."
21,guest,rag_negative,rag_accuracy,Where is the UFO landing pad?,OK,2.08,message,True,ok,,The database has no information for this request.
